assetid,schemename,schemecode,assetname,classofasset,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32008045064,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2861411,3201009002/IF/IAY/4637569,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045061,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2838175,3201009002/IF/IAY/4637568,PAMY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045052,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2838147,3201009002/IF/IAY/4637567,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045043,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3633890,3201009002/IF/IAY/4637566,PMAY,Constr of PMAY-G House for Individuals,29-12-2020,18951,0,0,0,0  ,18951,
32008045026,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3529140,3201009002/IF/IAY/4637565,PMAY,Constr of PMAY-G House for Individuals,29-12-2020,18738,0,0,0,0  ,18738,
32008044703,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5109904,3201009002/IF/IAY/4637559,PMAY,Constr of PMAY-G House for Individuals,25-12-2020,18951,0,0,0,0  ,18951,
32008044698,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4387139,3201009002/IF/IAY/4637383,IF,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008044712,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1410474,3201009002/IF/IAY/4637551,IF,Constr of PMAY-G House for Individuals,25-12-2020,19620,0,0,0,0  ,19620,
32008044689,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4310428,3201009002/IF/IAY/4637382,IGF,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008044690,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4955301,3201009002/IF/IAY/4637557,PMAY,Constr of PMAY-G House for Individuals,25-12-2020,19101,0,0,0,0  ,19101,
32008044682,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3670677,3201009002/IF/IAY/4637380,IF,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008044677,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3670646,3201009002/IF/IAY/4637379,IF,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008044670,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3670541,3201009002/IF/IAY/4637377,IF,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008044673,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3670594,3201009002/IF/IAY/4637378,IF,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008044704,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4881166,3201009002/IF/IAY/4637384,IF,Constr of PMAY-G House for Individuals,22-12-2020,19770,0,0,0,0  ,19770,
32008044660,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3615485,3201009002/IF/IAY/4637371,IF,Constr of PMAY-G House for Individuals,22-12-2020,19770,0,0,0,0  ,19770,
32008044663,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3616566,3201009002/IF/IAY/4637372,IF,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
