scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/WC/704010188733,30-04-2018,Re-Excavation of Paria Bandh ,381756,14223,235248,7047,15-06-2015,235248,0,7047,0,0  ,242295,
3214003009/IF/22012034615681,27-05-2020,Excavation of Surendranath  Hembram Happa ,231683,17516,220946,21313,02-11-2018,220946,7928,10885,2500,0  ,242259,
3214003009/IF/22012034583936,19-05-2020,EXCAVATION KRIPARAM ROY HAPPA ,190260,8170,193140,5940,08-12-2017,193140,0,5940,0,0  ,199080,
3214003009/IF/22012034583929,19-05-2020,EXCAVATION OF ASHUTOSH MANDAL HAPPA ,190260,8170,182160,5400,08-12-2017,182160,0,5400,0,0  ,187560,
3214003009/WC/704010186170,30-04-2018,Re-Excavation of Kurirgoria ,381756,14223,378624,10440,29-07-2015,378624,0,10440,0,0  ,389064,
3214003009/IF/22012034607417,19-05-2020,Kandarpa Mudi Happa ,190260,8170,186692,5533,16-02-2018,186692,573,4960,0,0  ,192225,
3214003009/IF/22012034583909,19-05-2020,EXCAVATION CHAND HEMBRAM HAPPA AT MANGURIA ,190260,8170,149400,7290,08-12-2017,149400,0,7290,0,0  ,156690,
3214003009/IF/22012034601649,19-05-2020,EXCAVATION OF SATYAJIT MAHATO HAPPA ,190260,8170,70020,2014,16-02-2018,70020,0,2014,0,0  ,72034,
3214003009/LD/321002040733924,01-10-2018,LAND LEVELING OF UKIL HEMBRAM ,89232,5140,80556,3630,02-03-2017,80556,0,2130,1500,0  ,84186,
3214003009/LD/321002040733923,01-10-2018,LAND LEVELING OF KANAI HANSDA ,89232,5140,94920,1890,02-03-2017,94920,0,1890,0,0  ,96810,
3214003009/LD/321002040733922,01-10-2018,LAND LEVELING OF ARJUN MANDI ,89232,5140,83467,1890,02-03-2017,83467,0,1890,0,0  ,85357,
3214003009/WC/704010188848,30-05-2018,Re-Excavation of Surendra Mahato Bandh ,227070,9786,291450,6786,20-01-2016,291450,0,6786,0,0  ,298236,
3214003009/RC/320201060176322,16-07-2018,IMP.OF ROAD FROM PAHARPUR VILLAGE ROAD TO CHIRKUNDA ,100717,186183,92349,45007.7,03-01-2014,92349,0,0,45007.7,0  ,137356.7,
3214003009/IF/22012034583902,19-05-2020,Excavation of Gopi Shankar Happa at Manguria IV ,190260,8170,180720,5496.43,08-12-2017,180720,0,5496.43,0,0  ,186216.43,
3214003009/LD/321002040734003,01-10-2018,LAND LEVELING OF TAPAN MANDAL ,89232,5140,94696,4178,02-03-2017,94696,0,2678,1500,0  ,98874,
3214003009/IF/22012034560184,19-05-2020,EXCAVATION OF MONAHAR PARAMANIK HAPPA ,190260,8170,163980,4860,21-09-2017,163980,0,4860,0,0  ,168840,
3214003009/LD/321002040733921,01-10-2018,LAND LEVELING OF MANAHOR MANDI ,89232,5140,83222,2160,02-03-2017,83222,0,2160,0,0  ,85382,
3214003009/IF/22012034555570,19-05-2020,EXCAVATION OF SURESH MAHATO BANDH AND MANGURIA XI ,190260,8170,166950,6590,17-10-2017,166950,1620,2970,2000,0  ,173540,
3214003009/DP/22012034367188,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,44640,1500,27-04-2017,44640,0,0,1500,0  ,46140,
3214003009/DP/22012034367179,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,154112,1500,27-04-2017,154112,0,0,1500,0  ,155612,
3214003009/RC/31,16-07-2018,Imp.of Road from Paharmela to Parulgora Pry School ,229296,241045,51209,39654,10-01-2013,51209,0,1632,38022,0  ,90863,
3214003009/DP/22012034367170,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,78772,1500,27-04-2017,78772,0,0,1500,0  ,80272,
3214003009/IF/22012034462112,24-01-2019,EXCAVATION OF JAGADISH RAJAK HAPPA ,94140,5200,93240,4680,11-05-2017,93240,0,2700,1980,0  ,97920,
3214003009/DP/22012034367163,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,21420,1500,27-04-2017,21420,0,0,1500,0  ,22920,
3214003009/DP/22012034367159,04-10-2018," clean environment at MSK campus schemes(compose pit,sock pit,brick solling pavement,land levelling, ",157680,42874,116580,1500,27-04-2017,116580,0,0,1500,0  ,118080,
3214003009/DP/22012034478417,10-12-2020,SMALL ORCHARED AT PRATAPPUR SANSAD(UM) ,625143,137232,630390,113386,08-08-2018,630390,0,8596,104790,0  ,743776,
3214003009/IF/22012034555575,19-05-2020,EXCAVATION OF TRIPALAN DUTTA HAPPA AT MANGURIA XI ,190260,8170,137070,6050,17-10-2017,137070,1350,2700,2000,0  ,143120,
3214003009/DP/22012034428477,19-05-2020,30-40 Model with Arjun plantation of Sanmati Hembram( UM) ,43548,6110,26167,3785,13-06-2018,26167,0,785,3000,0  ,29952,
3214003009/RC/320201060152801,16-07-2018,IMP.OF MOHANGORA ROAD ,320196,332354,145670,225400.2,03-01-2014,145670,0,3479,221921.2,0  ,371070.2,
3214003009/DP/22012034428474,19-05-2020,30-40 Model with Arjun plantation of  Fulmani Murmu UM) ,24639,5213,11078,3332,09-07-2018,11078,0,332,3000,0  ,14410,
3214003009/DP/22012034428475,19-05-2020,30-40 Model with Arjun plantation of  Suraj Murmu( UM) ,33234,6110,24257,3727,13-06-2018,24257,0,727,3000,0  ,27984,
3214003009/DP/22012034428469,19-05-2020,Nursary at Barapahar ,159485,108011,148082,86078.5,16-04-2018,148082,0,2578.5,83500,0  ,234160.5,
3214003009/DP/22012034428473,19-05-2020,30-40 Model with Arjun plantation of  Harimati Murmu( UM) ,86523,12717,59592,1787,09-07-2018,59592,0,1787,0,0  ,61379,
3214003009/DP/22012034463479,19-05-2020,30-40Model with Arjun Plantation of Anjana Hembram ,43548,6110,15853,3475,13-06-2018,15853,0,475,3000,0  ,19328,
3214003009/LD/321002040794761,19-05-2020,LAND LEVELING OF AMBARISH MAHATO ,21600,3040,23040,810,22-02-2018,23040,0,810,0,0  ,23850,
3214003009/DP/22012034367146,04-10-2018," clean environment at SSK campus schemes(compose pit,sock pit,brick solling pavement,land levelling, ",157680,42874,3240,1500,27-04-2017,3240,0,0,1500,0  ,4740,
3214003009/LD/321002040797980,19-05-2020,LAND LEVELING OF TARANI DAS ,21600,3040,24600,736,24-02-2018,24600,0,736,0,0  ,25336,
3214003009/DP/22012034367175,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,61484,19903,27-04-2017,61484,0,0,19903,0  ,81387,
3214003009/DP/22012034366525,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,4320,1500,27-04-2017,4320,0,0,1500,0  ,5820,
3214003009/DP/22012034366516,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,15832,1500,27-04-2017,15832,0,0,1500,0  ,17332,
3214003009/DP/22012034366513,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,22950,1500,27-04-2017,22950,0,0,1500,0  ,24450,
