scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010005/IF/IAY/3716676,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5239252 ,14-12-2020,19380,0,19302,0,05-03-2020,19302,0,0,0,0  ,19302,
3213010005/IF/IAY/3716670,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2373992 ,15-03-2021,19380,0,19380,0,30-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716667,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5743170 ,15-03-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716671,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5298775 ,29-10-2020,19380,0,19380,0,05-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3367735,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2782222 ,03-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367734,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2392039 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367733,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3032737 ,29-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367736,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4882287 ,14-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3716668,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5022063 ,02-02-2021,19380,0,19380,0,06-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3367732,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4960268 ,03-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367729,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5258371 ,14-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367728,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5262493 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367697,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5262144 ,23-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367726,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4704892 ,13-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367723,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2525651 ,13-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367731,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4885781 ,14-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367727,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5204214 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
