scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3216011003/IF/IAY/4673665),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2614000 ,30/09/2021 ,18360 ,0 ,3195 ,0 ,13/08/2020,3195,0,0,0,0  ,3195,
(3216011003/IF/IAY/4673664),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5237073 ,08/08/2021 ,18360 ,0 ,6390 ,0 ,05/08/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673663),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4964863 ,15/09/2021 ,18360 ,0 ,9585 ,0 ,05/08/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673661),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4217485 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,05/08/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673662),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4218820 ,21/03/2022 ,18360 ,0 ,14910 ,0 ,05/08/2020,14910,0,0,0,0  ,14910,
(3216011003/IF/IAY/4673660),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4195850 ,20/03/2022 ,18360 ,0 ,3195 ,0 ,05/08/2020,3195,0,0,0,0  ,3195,
(3216011003/IF/IAY/4673659),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3909581 ,20/03/2022 ,18360 ,0 ,12780 ,0 ,05/08/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4673690),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3709317 ,09/03/2022 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673657),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3708280 ,09/03/2022 ,18360 ,0 ,5325 ,0 ,05/08/2020,5325,0,0,0,0  ,5325,
(3216011003/IF/IAY/4673656),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3708105 ,09/03/2022 ,18360 ,0 ,9585 ,0 ,05/08/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673658),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3712912 ,20/03/2022 ,18360 ,0 ,12780 ,0 ,05/08/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4673647),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5528049 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,25/07/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673641),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3870249 ,20/03/2022 ,18360 ,0 ,11715 ,0 ,25/07/2020,11715,0,0,0,0  ,11715,
(3216011003/IF/IAY/4673640),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3869200 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,25/07/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673639),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3864794 ,20/03/2022 ,18360 ,0 ,12780 ,0 ,25/07/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4673637),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1069947 ,04/02/2022 ,18360 ,0 ,14910 ,0 ,25/07/2020,14910,0,0,0,0  ,14910,
(3216011003/IF/IAY/4673416),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4429900 ,23/03/2022 ,18360 ,0 ,5325 ,0 ,01/07/2020,5325,0,0,0,0  ,5325,
(3216011003/IF/IAY/4673413),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5718693 ,20/03/2022 ,18360 ,0 ,6390 ,0 ,29/05/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673648),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5551566 ,20/03/2022 ,18360 ,0 ,11715 ,0 ,25/07/2020,11715,0,0,0,0  ,11715,
(3216011003/IF/IAY/4673642),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3879279 ,20/03/2022 ,18360 ,0 ,6390 ,0 ,25/07/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673411),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4513868 ,15/09/2021 ,18360 ,0 ,12780 ,0 ,29/05/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4673409),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4472649 ,15/09/2021 ,18360 ,0 ,9585 ,0 ,29/05/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673415),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4429308 ,21/03/2022 ,18360 ,0 ,7455 ,0 ,01/07/2020,7455,0,0,0,0  ,7455,
(3216011003/IF/IAY/4673404),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3524396 ,21/03/2022 ,18360 ,0 ,4260 ,0 ,15/05/2020,4260,0,0,0,0  ,4260,
(3216011003/IF/IAY/4673400),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5421984 ,20/03/2022 ,18360 ,0 ,14910 ,0 ,08/05/2020,14910,0,0,0,0  ,14910,
(3216011003/IF/IAY/4584655),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2453698 ,21/03/2022 ,18360 ,0 ,15975 ,0 ,28/12/2020,15975,0,0,0,0  ,15975,
(3216011003/IF/IAY/4584442),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1955298 ,21/03/2022 ,18360 ,0 ,14910 ,0 ,23/09/2020,14910,0,0,0,0  ,14910,
(3216011003/IF/IAY/4584445),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3863471 ,20/03/2022 ,18360 ,0 ,15975 ,0 ,24/12/2020,15975,0,0,0,0  ,15975,
(3216011003/IF/IAY/4584440),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3115252 ,20/03/2022 ,18360 ,0 ,8520 ,0 ,10/08/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4673377),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1209075 ,21/03/2022 ,18360 ,0 ,11715 ,0 ,21/07/2020,11715,0,0,0,0  ,11715,
(3216011003/IF/IAY/4584449),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3929832 ,20/03/2022 ,18360 ,0 ,8520 ,0 ,25/07/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4581946),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4547460 ,21/03/2022 ,18360 ,0 ,8520 ,0 ,08/05/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4584441),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3676428 ,19/02/2022 ,18360 ,0 ,19170 ,0 ,10/08/2020,19170,0,0,0,0  ,19170,
(3216011003/IF/IAY/4569150),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1922217 ,19/02/2022 ,18360 ,0 ,9585 ,0 ,31/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4584448),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4426371 ,20/03/2022 ,18360 ,0 ,4899 ,0 ,08/05/2020,4899,0,0,0,0  ,4899,
(3216011003/IF/IAY/4257360),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3222016 ,27/09/2021 ,18360 ,0 ,12510 ,0 ,23/02/2020,12510,0,0,0,0  ,12510,
(3216011003/IF/IAY/4256923),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4276811 ,27/09/2021 ,18360 ,0 ,12510 ,0 ,23/02/2020,12510,0,0,0,0  ,12510,
(3216011003/IF/IAY/4255116),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3633694 ,27/09/2021 ,18360 ,0 ,6390 ,0 ,29/03/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4214945),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3227029 ,14/02/2022 ,18360 ,0 ,9585 ,0 ,15/05/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4214959),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3911716 ,15/10/2021 ,18360 ,0 ,15840 ,0 ,08/05/2020,15840,0,0,0,0  ,15840,
(3216011003/IF/IAY/4214938),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3660574 ,14/02/2022 ,18360 ,0 ,12780 ,0 ,15/05/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4214931),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3709481 ,15/10/2021 ,18360 ,0 ,15840 ,0 ,15/05/2020,15840,0,0,0,0  ,15840,
(3216011003/IF/IAY/4214885),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3136851 ,15/10/2021 ,18360 ,0 ,12780 ,0 ,25/07/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4568885),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5023541 ,20/03/2022 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4214702),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3679332 ,15/09/2021 ,18360 ,0 ,19035 ,0 ,08/05/2020,19035,0,0,0,0  ,19035,
(3216011003/IF/IAY/4214773),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4857451 ,15/09/2021 ,18360 ,0 ,19035 ,0 ,29/05/2020,19035,0,0,0,0  ,19035,
(3216011003/IF/IAY/4214805),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3692180 ,27/09/2021 ,18360 ,0 ,19035 ,0 ,08/05/2020,19035,0,0,0,0  ,19035,
(3216011003/IF/IAY/4214716),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4435680 ,28/08/2021 ,18360 ,0 ,18900 ,0 ,08/05/2020,18900,0,0,0,0  ,18900,
(3216011003/IF/IAY/4103813),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4164746 ,15/09/2021 ,18360 ,0 ,18900 ,0 ,23/02/2020,18900,0,0,0,0  ,18900,
(3216011003/IF/IAY/4214740),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4540770 ,10/08/2021 ,18360 ,0 ,18015 ,0 ,08/05/2020,18015,0,0,0,0  ,18015,
(3216011003/IF/IAY/4055792),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4531102 ,15/07/2021 ,18360 ,0 ,19170 ,0 ,08/05/2020,19170,0,0,0,0  ,19170,
(3216011003/IF/IAY/4055794),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4793983 ,29/08/2021 ,18360 ,0 ,18678 ,0 ,29/05/2020,18678,0,0,0,0  ,18678,
(3216011003/IF/IAY/4055790),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3924017 ,14/02/2022 ,18360 ,0 ,8520 ,0 ,15/05/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4055786),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4488889 ,14/02/2022 ,18360 ,0 ,6390 ,0 ,29/05/2020,6390,0,0,0,0  ,6390,
